,architecture,model_type,embeddings,hidden,num_layers,dropouts,bidirectional,learning_rate,epochs,dev_acc,dev_prec,dev_recall,metric
101,33,LSTM,Law2Vec,0.3333333333333333,1,0.5,False,0.0001,10,0.864406779661017,,0.0,recall
102,34,LSTM,Law2Vec,0.3333333333333333,1,0.5,True,0.01,10,0.8813559322033898,1.0,0.125,accuracy
103,34,LSTM,Law2Vec,0.3333333333333333,1,0.5,True,0.01,10,0.8813559322033898,1.0,0.125,precision
104,34,LSTM,Law2Vec,0.3333333333333333,1,0.5,True,0.01,10,0.3220338983050847,0.16666666666666666,1.0,recall
105,35,LSTM,Law2Vec,0.3333333333333333,1,0.5,True,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,accuracy
106,35,LSTM,Law2Vec,0.3333333333333333,1,0.5,True,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,precision
107,35,LSTM,Law2Vec,0.3333333333333333,1,0.5,True,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,recall
108,36,LSTM,Law2Vec,0.3333333333333333,1,0.75,False,0.01,10,0.864406779661017,,0.0,accuracy
109,36,LSTM,Law2Vec,0.3333333333333333,1,0.75,False,0.01,10,0.2033898305084746,0.14545454545454545,1.0,precision
110,36,LSTM,Law2Vec,0.3333333333333333,1,0.75,False,0.01,10,0.2033898305084746,0.14545454545454545,1.0,recall
111,37,LSTM,Law2Vec,0.3333333333333333,1,0.75,False,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,accuracy
112,37,LSTM,Law2Vec,0.3333333333333333,1,0.75,False,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,precision
113,37,LSTM,Law2Vec,0.3333333333333333,1,0.75,False,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,recall
114,38,LSTM,Law2Vec,0.3333333333333333,1,0.75,True,0.01,10,0.864406779661017,0.5,0.125,accuracy
115,38,LSTM,Law2Vec,0.3333333333333333,1,0.75,True,0.01,10,0.864406779661017,0.5,0.125,precision
116,38,LSTM,Law2Vec,0.3333333333333333,1,0.75,True,0.01,10,0.13559322033898305,0.13559322033898305,1.0,recall
117,39,LSTM,Law2Vec,0.3333333333333333,1,0.75,True,0.0001,10,0.2033898305084746,0.1320754716981132,0.875,accuracy
118,39,LSTM,Law2Vec,0.3333333333333333,1,0.75,True,0.0001,10,0.1864406779661017,0.14285714285714285,1.0,precision
119,39,LSTM,Law2Vec,0.3333333333333333,1,0.75,True,0.0001,10,0.1864406779661017,0.14285714285714285,1.0,recall
120,40,LSTM,Law2Vec,0.3333333333333333,2,0.5,False,0.01,10,0.864406779661017,,0.0,accuracy
121,40,LSTM,Law2Vec,0.3333333333333333,2,0.5,False,0.01,10,0.13559322033898305,0.13559322033898305,1.0,precision
122,40,LSTM,Law2Vec,0.3333333333333333,2,0.5,False,0.01,10,0.13559322033898305,0.13559322033898305,1.0,recall
123,41,LSTM,Law2Vec,0.3333333333333333,2,0.5,False,0.0001,10,0.864406779661017,,0.0,accuracy
124,41,LSTM,Law2Vec,0.3333333333333333,2,0.5,False,0.0001,10,0.864406779661017,,0.0,precision
125,41,LSTM,Law2Vec,0.3333333333333333,2,0.5,False,0.0001,10,0.864406779661017,,0.0,recall
126,42,LSTM,Law2Vec,0.3333333333333333,2,0.5,True,0.01,10,0.864406779661017,,0.0,accuracy
127,42,LSTM,Law2Vec,0.3333333333333333,2,0.5,True,0.01,10,0.22033898305084745,0.14814814814814814,1.0,precision
128,42,LSTM,Law2Vec,0.3333333333333333,2,0.5,True,0.01,10,0.13559322033898305,0.13559322033898305,1.0,recall
129,43,LSTM,Law2Vec,0.3333333333333333,2,0.5,True,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,accuracy
130,43,LSTM,Law2Vec,0.3333333333333333,2,0.5,True,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,precision
131,43,LSTM,Law2Vec,0.3333333333333333,2,0.5,True,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,recall
132,44,LSTM,Law2Vec,0.3333333333333333,2,0.75,False,0.01,10,0.864406779661017,,0.0,accuracy
133,44,LSTM,Law2Vec,0.3333333333333333,2,0.75,False,0.01,10,0.22033898305084745,0.14814814814814814,1.0,precision
134,44,LSTM,Law2Vec,0.3333333333333333,2,0.75,False,0.01,10,0.13559322033898305,0.13559322033898305,1.0,recall
135,45,LSTM,Law2Vec,0.3333333333333333,2,0.75,False,0.0001,10,0.864406779661017,,0.0,accuracy
136,45,LSTM,Law2Vec,0.3333333333333333,2,0.75,False,0.0001,10,0.864406779661017,,0.0,precision
137,45,LSTM,Law2Vec,0.3333333333333333,2,0.75,False,0.0001,10,0.864406779661017,,0.0,recall
138,46,LSTM,Law2Vec,0.3333333333333333,2,0.75,True,0.01,10,0.864406779661017,,0.0,accuracy
139,46,LSTM,Law2Vec,0.3333333333333333,2,0.75,True,0.01,10,0.7966101694915254,0.16666666666666666,0.125,precision
140,46,LSTM,Law2Vec,0.3333333333333333,2,0.75,True,0.01,10,0.13559322033898305,0.13559322033898305,1.0,recall
141,47,LSTM,Law2Vec,0.3333333333333333,2,0.75,True,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,accuracy
142,47,LSTM,Law2Vec,0.3333333333333333,2,0.75,True,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,precision
